PERMNO,#RIC
10026.0,JJSF.O
10032.0,PLXS.O
10051.0,HGR
10104.0,ORCL.O
10104.0,ORCL.K
10107.0,MSFT.O
10137.0,AYE
10138.0,TROW.O
10145.0,HON
10147.0,EMC
10180.0,AKRX.O
10182.0,TECD.O
10200.0,RGEN.O
10225.0,FO
10225.0,BEAM.K
10252.0,INDB.O
10259.0,SIGM.O
10272.0,TKLC.O
10299.0,LLTC.O
10302.0,CY.O
10308.0,TMP
10324.0,GENZ.O
10375.0,TCB
10382.0,ASTE.O
10395.0,NAVG.O
10397.0,WERN.O
10421.0,SKYW.O
10501.0,AMWD.O
10516.0,ADM
10517.0,AAN
10530.0,VIVO.O
10606.0,WTS
10629.0,FNB
10656.0,ACET.O
10659.0,BRLI.O
10696.0,FISV.O
10812.0,HTLD.O
10866.0,BWS
10866.0,CAL
10874.0,BC
10909.0,CERN.O
10932.0,WBS
11018.0,FBP
11081.0,DELL.O
11144.0,AVD
11208.0,OFG
11267.0,CATO.K
11308.0,KO
11343.0,SAFM.O
11369.0,UBSI.O
11378.0,CCC
11382.0,SKS
11403.0,CDNS.O
11404.0,ED
11442.0,CHCO.O
11481.0,EBIX.O
11533.0,FICO.K
11547.0,CNMD.O
11552.0,CELG.O
11581.0,ATU
11599.0,ACO
11600.0,XRAY.O
11618.0,FAST.O
11628.0,CPF
11641.0,AIRM.O
11644.0,CRK
11664.0,GDOT.K
11674.0,DTE
11691.0,ALEX.K
11691.0,MATX.K
11703.0,DD
11707.0,CBM
11731.0,AIN
11752.0,IIVI.O
11754.0,EK
11786.0,SIVB.O
11809.0,CLH
11850.0,XOM
11884.0,IPAR.O
11955.0,WM
11976.0,BMC.O
12008.0,DY
12036.0,GMT
12052.0,GD
12060.0,GE
12062.0,LH
12067.0,NVLS.O
12068.0,ONB
12068.0,ONB.O
12073.0,PBCT.O
12074.0,PDE
12140.0,GR
12173.0,GNCMA.O
12211.0,LNN
12217.0,MEAS.O
12330.0,EXAM.K
12369.0,GM
12446.0,FXCM.K
12456.0,MMI
12477.0,WD
12490.0,IBM
12558.0,KMI
12570.0,ITT
12615.0,FF
12622.0,HCA
12623.0,HII
12650.0,KSU
12695.0,SGNT.O
12758.0,ECOL.O
12781.0,LG
12872.0,MPC
12880.0,AMCX.O
12894.0,CJES.K
12905.0,SXC
12906.0,SYRG.K
12914.0,DNKN.O
12915.0,FRAN.O
12924.0,TNGO.O
12981.0,FBHS.K
13018.0,XLS
13035.0,XYL
13041.0,LMOS.O
13056.0,AM
13085.0,VAC
13116.0,BCEI.K
13141.0,WPX
13168.0,TRIP.O
13188.0,POST.K
13253.0,SLCA.K
13285.0,BNNY.K
13356.0,PSX
13400.0,WAGE.K
13407.0,FB.O
13429.0,ALEX.K
13502.0,EGL
13567.0,ADT
13598.0,KRFT.O
13610.0,OLN
13627.0,WWAV.K
13688.0,PCG
13712.0,UIHC.O
13721.0,ABBV.K
13743.0,ERA
13748.0,TPH
13766.0,BCC
13788.0,ZTS
13825.0,ENTA.O
13831.0,CST
13856.0,PEP
13878.0,MDXG.O
13901.0,MO
